Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
Malta,81.7,54,0,431874,81.65,6.11 [5.41-6.89],28.6,7.01 [6.21-7.92],11.093,37922.113,8.9,1,919,2,0,4,5,2,8,1,16,0,169,13,3,0,3
Mauritania,63.1,25,8,4182341,67.41,55.03 [36.76-82.54],1.71,82.71 [48.1-142.5],6.182,4585.9,3.67,257,1859,58,1190,49,195,22,4,549,858,540,1959,2239,17,0,1987
Mauritius,74.6,146,0,126265,74.14,12.75 [11.9-13.66],20.25,14.49 [13.53-15.53],11.692,19225.922,5.7,7,1324,21,0,40,30,95,19,16,171,6,265,101,72,0,28
Mexico,76.7,122,30,12589949,75.87,13.93 [13.24-14.76],23.25,16.2 [15.39-17.17],1171.87,18382.238,5.72,533,91814,944,2,2372,23459,5300,474,2521,19885,1070,20894,15390,4048,53,4679
Mongolia,68.8,222,1,2976877,67.61,17.28 [16.94-17.64],32.19,20.23 [19.81-20.66],11.62,10441.614,4.24,26,4985,98,0,163,295,12,17,387,632,44,590,739,543,0,59
Montenegro,76.1,16,0,622159,75.27,3.13 [2.8-3.52],23.76,3.56 [3.18-4],4.055,16336.11,9.02,1,1607,13,0,10,22,2,1,5,62,0,71,16,8,0,1
Morocco,74.3,95,17,3483322,72.46,21.69 [17.82-26.3],,25.27 [20.78-30.6],101.179,7244.166,5.07,486,24665,863,0,415,385,728,358,4502,9322,708,6687,7502,105,0,1984
Mozambique,57.6,355,60,281691,55.95,61.55 [50.87-75.68],0.41,85.43 [68.29-108.4],15.951,1291.269,6.72,2938,12192,675,21419,744,1667,72656,115,22504,4866,2155,16147,24815,242,160,9969
Myanmar,66.6,199,39,5243669,67.58,40.72 [32.66-49.05],,51.77 [40.33-64.08],62.655,4224.239,5.48,2242,47791,303,1919,3378,773,9950,199,16811,7086,1847,23602,19388,382,213,8111
Namibia,65.8,248,2,2425561,62.87,33.34 [23.81-47.81],,47.84 [32.29-74.69],11.45,10792.674,9.98,107,1443,87,19,77,437,4550,5,909,552,81,1439,958,25,0,771
Nepal,69.2,165,17,28656282,69.43,29.68 [25.65-34.24],,36.22 [30.84-42.53],24.361,2996.22,5.47,619,18805,180,7,1598,533,1968,32,8156,2589,2029,9913,10443,210,9034,6173
Netherlands,81.9,57,1,16939923,81.28,3.44 [3.35-3.53],34.92,4.05 [3.94-4.15],765.65,50418.735,10.32,90,52591,100,0,80,132,56,162,93,765,6,5552,316,476,1,407
Nicaragua,74.8,145,2,68235,74.62,16.62 [15.28-18.29],9.31,19.43 [17.8-21.46],12.757,5260.512,7.96,45,3866,23,1,168,397,543,10,144,691,61,1039,795,358,3,217
Niger,61.8,22,49,19896965,61.54,51.87 [42.22-63.42],0.47,94.02 [68.99-126.3],9.684,1145.241,5.35,8633,5928,684,32208,921,1644,2120,11,5731,2550,3209,24056,20534,86,27,29194
Nigeria,54.5,344,483,181181744,61.16,79.52 [69.71-91.13],,126.8 [109.3-148],492.437,5426.346,3.58,48484,73971,4069,204672,3399,12648,75930,236,50844,19053,18644,192033,203212,1145,94,203706
Norway,81.8,59,0,518867,82.01,2.21 [2.09-2.33],26.47,2.72 [2.58-2.87],385.802,60189.92,10.13,18,12264,55,0,53,29,12,253,42,198,1,1942,63,231,7,364
Pakistan,66.4,161,352,18938513,64.18,62.12 [57.26-67.43],9.26,76.05 [69.42-83.37],304.081,5169.631,2.69,20247,159325,2771,3922,3680,12516,2758,863,68586,18341,17280,77245,273242,1943,663,88656
Panama,77.8,118,1,3969249,78.72,14.55 [8.98-23.01],,16.93 [10.46-27.4],54.092,25275.185,6.81,40,3535,23,0,127,635,589,13,211,520,53,801,397,29,1,193
PapuaNewGuinea,62.9,275,10,7919825
Paraguay,74,146,2,6639119,75.56,18.92 [11.17-31.81],,22.21 [12.98-39.14],36.211,11372.589,6.7,64,5250,54,0,170,737,728,12,248,1405,102,1336,664,293,12,180
Peru,75.5,123,8,31376671,79.08,12.17 [10.77-13.76],,15.67 [13.88-17.72],191.247,11407.94,4.98,151,29809,259,41,664,1135,2999,158,2091,4641,510,17342,4956,280,30,1191
Philippines,68.5,211,52,11716359,70.3,23.48 [20.05-27.09],,29.83 [25.18-35.2],306.446,7278.232,3.9,2844,71673,991,46,4943,14694,5705,265,30132,10515,1976,58162,27006,1032,288,9407
Poland,77.5,117,2,37986412,77.29,4.17 [4.07-4.26],23.25,4.85 [4.74-4.95],477.488,26855.679,6.39,170,116526,589,0,854,584,173,179,600,4075,12,11924,695,4430,6,308
Portugal,81.1,76,0,135876,80.89,2.96 [2.84-3.09],47.49,3.62 [3.47-3.78],199.414,29668.81,9.32,40,29906,146,0,97,165,519,44,232,913,6,7708,139,180,1,260
